singular_suffix,plural_suffix,count
a,as,9629
m,ms,1276
f,fs,918
i,i,724
s,s,688
a,a,568
o,oes,522
a,ata,499
h,hs,375
n,n,364
e,e,339
h,hes,324
o,o,245
y,ys,227
lus,li,226
is,ides,222
u,u,222
ron,ra,199
ion,ia,189
n,ns,180
s,ss,179
os,oi,166
erson,eople,165
z,zes,164
t,t,134
k,k,119
h,h,110
x,xes,107
g,g,98
r,r,97
eus,ei,91
s,ses,90
to,ti,85
e,es,84
cus,ci,83
l,l,82
s,sses,81
tis,tes,74
ius,ii,72
ife,ives,70
tus,ti,70
no,ni,67
rus,ri,65
eful,esful,64
d,d,63
u,us,59
tful,tsful,58
m,m,57
sus,si,53
gus,gi,52
k,ki,52
nful,nsful,52
r,res,50
y,y,49
rful,rsful,46
z,z,46
lo,li,45
i,ies,43
hus,hi,42
lon,la,42
c,c,41
men,mina,41
nus,ni,40
ix,ices,39
n,nim,39
n,nes,38
non,na,38
ton,ta,38
ka,ki,37
an,a,36
e,en,36
x,x,36
mus,mi,35
t,ts,35
d,dren,34
r,rim,32
x,xs,30
a,ai,29
bus,bi,29
h,him,29
kful,ksful,29
lis,les,29
tex,tices,28
lful,lsful,27
p,p,27
l,les,25
ne,ni,25
w,w,25
r,ri,24
z,zzes,24
pus,pi,23
j,jes,22
pful,psful,22
ax,aces,21
aff,aves,20
do,di,20
o,ones,20
ta,te,20
fan,fen,19
dful,dsful,17
f,f,17
io,i,17
la,le,17
le,lia,17
dus,di,16
gful,gsful,16
ns,ntes,16
b,b,15
con,ca,15
eon,ea,15
n,ne,15
na,ne,15
r,rs,15
d,des,14
i,ia,14
lex,lices,14
lis,leis,14
ra,re,14
rah,rot,14
t,ten,14
d,dae,13
n,ni,13
xon,xa,13
zo,zi,13
d,dim,12
h,hen,12
i,im,12
ia,ie,12
so,si,12
go,gines,11
ka,ky,11
mful,msful,11
nus,nera,11
ris,res,11
ro,ri,11
g,ges,10
j,j,10
k,kim,10
l,lim,10
na,ny,10
rah,roth,10
t,tim,10
tes,tai,10
wful,wsful,10
co,chi,9
h,hi,9
pex,pices,9
t,te,9
t,tes,9
u,ux,9
zah,zot,9
a,at,8
dex,dices,8
g,ge,8
g,gim,8
hful,hsful,8
is,i,8
le,lae,8
le,li,8
mo,mi,8
mon,ma,8
nah,not,8
ney,nies,8
q,q,8
re,ri,8
ta,ti,8
vus,vi,8
y,yes,8
yx,yces,8
za,ze,8
a,az,7
bful,bsful,7
k,ky,7
lah,lot,7
r,ra,7
te,ti,7
vis,ves,7
z,zy,7
as,ata,6
bis,bes,6
do,dines,6
ha,hot,6
hah,hot,6
hon,ha,6
lah,loth,6
m,ma,6
ma,me,6
n,ny,6
ns,ntia,6
pah,pot,6
ra,rot,6
s,sen,6
ta,tes,6
u,ua,6
v,v,6
z,zim,6
za,zot,6
a,aim,5
ah,at,5
as,ades,5
as,ai,5
ax,akes,5
co,ci,5
g,gen,5
ga,gi,5
h,hy,5
ha,hos,5
hful,hesful,5
l,lach,5
le,lai,5
me,mai,5
nis,nes,5
o,oj,5
ra,roth,5
ryful,riesful,5
s,sim,5
se,si,5
sful,sesful,5
yful,ysful,5
yx,yges,5
zah,zoth,5
as,ates,4
bah,both,4
ce,ci,4
es,etes,4
ex,eces,4
ex,eges,4
ge,gi,4
gon,ga,4
hah,hoth,4
io,ia,4
key,kies,4
l,lech,4
l,li,4
l,lz,4
la,los,4
la,lot,4
lum,li,4
m,mata,4
m,mim,4
mes,mites,4
mis,mes,4
mur,mora,4
n,ntes,4
nah,noth,4
oon,oa,4
pa,pot,4
pus,podes,4
sa,se,4
t,ti,4
ux,uces,4
vo,vi,4
x,xen,4
ys,yes,4
z,zi,4
za,zoth,4
aad,aden,3
al,aux,3
bex,bices,3
ceps,cipes,3
d,da,3
d,dau,3
d,der,3
d,dy,3
dah,dot,3
der,darim,3
e,ees,3
e,er,3
eus,eis,3
fah,fot,3
fex,fices,3
h,ha,3
h,he,3
h,hot,3
h,hoth,3
ha,hoth,3
hok,hki,3
ix,ikes,3
k,ken,3
kah,koth,3
kon,ka,3
l,lia,3
l,ln,3
la,li,3
m,mi,3
me,ma,3
n,nob,3
n,not,3
n,noth,3
n,nz,3
na,ni,3
ne,na,3
nets,ntsy,3
o,og,3
pah,poth,3
pe,pae,3
po,pi,3
ps,pes,3
pus,pora,3
put,pita,3
q,qim,3
r,re,3
r,ren,3
ra,ry,3
re,ria,3
rex,rices,3
s,se,3
sa,sy,3
sey,sies,3
t,ter,3
t,ty,3
u,ues,3
u,uit,3
uk,uit,3
v,vim,3
va,vot,3
vah,voth,3
vey,vies,3
ya,yot,3
yfe,yves,3
yon,ya,3
z,ze,3
aful,asful,2
ail,aux,2
ak,at,2
al,ais,2
aq,at,2
as,ae,2
az,aces,2
b,bz,2
bah,bot,2
ban,ben,2
bos,batim,2
ce,cies,2
ceps,cipites,2
cus,cera,2
d,dden,2
d,de,2
d,deen,2
d,dz,2
da,des,2
da,dy,2
di,deen,2
e,eg,2
e,eis,2
e,ek,2
e,ez,2
es,edes,2
ez,eces,2
fer,frim,2
fo,fi,2
fus,fi,2
g,ga,2
g,gi,2
ga,ge,2
ged,gdim,2
gey,gies,2
gia,ge,2
h,hie,2
h,hz,2
han,honim,2
he,hae,2
heder,hadarim,2
hen,hanim,2
het,htim,2
hex,hices,2
hos,he,2
i,iz,2
ia,i,2
iah,iot,2
io,ii,2
iq,iit,2
ism,i,2
itis,ides,2
ius,ia,2
ix,iches,2
j,jj,2
k,ke,2
k,ker,2
l,lion,2
l,llar,2
la,loth,2
lah,los,2
ley,lies,2
lfe,lves,2
lli,ltin,2
lum,lae,2
lx,lces,2
m,mat,2
m,my,2
mah,mot,2
mah,moth,2
manchild,menchildren,2
manservant,menservants,2
me,mata,2
mel,mlech,2
men,mines,2
n,nen,2
n,ner,2
ne,nae,2
ne,nai,2
nets,ntsi,2
nny,nce,2
nos,ne,2
nx,nces,2
oe,oae,2
oe,oai,2
on,oi,2
oot,oten,2
ous,odes,2
ous,oes,2
ox,oces,2
p,pen,2
p,py,2
pa,pe,2
pe,pai,2
q,qq,2
q,qun,2
r,rot,2
r,roth,2
rah,ros,2
rey,ries,2
rf,rven,2
ros,rsim,2
rus,rii,2
s,sa,2
sa,si,2
sar,sour,2
sia,ses,2
sis,seis,2
t,ta,2
t,tn,2
t,tot,2
ta,tot,2
ta,ty,2
te,tae,2
terfamilias,tresfamilias,2
tes,tae,2
tus,ta,2
tus,tera,2
tyful,tiesful,2
u,uen,2
uis,ues,2
uq,ut,2
us,udes,2
us,ura,2
uus,ui,2
v,ve,2
v,vin,2
veh,voth,2
vets,vtsy,2
vo,va,2
w,wen,2
wa,ween,2
xful,xesful,2
xus,xi,2
ya,yoth,2
yah,yot,2
ys,ydes,2
zis,zes,2
a,aa,1
a,ades,1
a,aes,1
a,ak,1
a,ala,1
a,alar,1
a,am,1
a,ar,1
a,athes,1
aal,alen,1
aan,ani,1
aan,ans,1
achua,wochua,1
ae,ai,1
afful,avesful,1
afidi,awafid,1
ah,ae,1
ais,aeson,1
alim,ulama,1
alim,ulema,1
alma,awalim,1
almah,awalim,1
alme,awalim,1
almeh,awalim,1
amazigh,imazighen,1
amenukal,imenukalen,1
amus,awamis,1
an,asa,1
ann,awan,1
arijite,awarij,1
ariya,awari,1
as,aces,1
as,antes,1
asibi,awasib,1
atl,a,1
atur,antur,1
azeeyeh,awazee,1
b,be,1
b,bim,1
b,bims,1
b,bin,1
b,bob,1
ba,be,1
bel,blach,1
ber,bri,1
bi,ba,1
bi,bah,1
bi,banim,1
bi,banin,1
bi,bonim,1
bi,bonin,1
bit,btin,1
bkhara,bakhir,1
bok,bki,1
boste,batim,1
bs,bes,1
bwthyn,bythynnod,1
c,cada,1
c,ces,1
c,ci,1
ca,che,1
cah,cos,1
cah,cot,1
cah,coth,1
ce,cs,1
cek,cky,1
cen,cines,1
cful,csful,1
cow,cattle,1
cow,kine,1
cwmwd,cymydau,1
d,dai,1
d,den,1
d,di,1
d,dia,1
d,din,1
d,dn,1
d,dun,1
da,de,1
da,din,1
da,dot,1
dah,dos,1
dah,doth,1
dars,duroos,1
dars,durus,1
dd,dood,1
dd,dud,1
dda,dren,1
de,dia,1
de,dren,1
del,dlach,1
del,dloch,1
der,dren,1
di,d,1
di,da,1
diptotes,nouns,1
do,dis,1
dongolawi,danagla,1
drasah,daris,1
dy,dsies,1
dyful,diesful,1
e,ebi,1
e,edes,1
e,em,1
e,eob,1
e,ese,1
e,eta,1
ea,ee,1
ea,es,1
eal,eis,1
ebeast,e,1
ee,es,1
eed,ede,1
eest,esunt,1
ef,evim,1
eh,eot,1
eis,easa,1
ekwele,bipkwele,1
el,eaux,1
el,eis,1
em,ens,1
eo,ei,1
eo,emus,1
erg,areg,1
es,e,1
es,eis,1
es,eisim,1
es,eysim,1
etl,emeh,1
eu,ei,1
eus,ea,1
ew,eois,1
eyrir,aurar,1
f,fe,1
f,fi,1
f,fim,1
fals,fulus,1
fanne,fenne,1
far,froth,1
fer,f,1
fer,farim,1
fet,ftim,1
fid,feda,1
fils,fulus,1
foote,feete,1
footful,feetful,1
footpaw,feetpaws,1
fsir,fasir,1
fut,feet,1
g,gar,1
g,ghang,1
g,gin,1
g,gn,1
ga,ghe,1
gadol,gedolim,1
gaon,geonim,1
gas,ges,1
ge,goi,1
gepik,qepik,1
ger,gri,1
get,gitten,1
get,gittim,1
ghanedd,ganeddion,1
go,ghi,1
gr,gar,1
gus,ges,1
h,hae,1
h,hat,1
h,hean,1
h,heen,1
h,hin,1
h,hiv,1
h,hod,1
h,hoi,1
h,hons,1
h,hos,1
h,hun,1
ha,hi,1
hadd,hudood,1
hadd,hudud,1
hadeeth,ahadeeth,1
hadith,ahadith,1
hafiz,huffaz,1
hah,hiot,1
hah,hioth,1
hah,hiyos,1
hah,hiyot,1
hah,hiyoth,1
hah,hos,1
haliach,hluchim,1
haliah,helichim,1
haliah,helihim,1
haliah,hlichim,1
haliah,hlihim,1
haliah,hluchim,1
haliah,hluhim,1
ham,homim,1
har,hroth,1
harif,hurafa,1
hat,hot,1
haykh,huyookh,1
he,hai,1
he,hi,1
heder,hadorim,1
hegetz,hkotzim,1
heikh,huyookh,1
hein,hanim,1
hel,halim,1
hel,hlach,1
helek,halakim,1
hem,homim,1
her,harim,1
herero,ovaherero,1
hesh,hashoth,1
hetrum,hhertum,1
hf,hvs,1
hizb,ahzab,1
ho,heaux,1
hok,hky,1
hok,hukim,1
hokhol,hakhly,1
hol,hly,1
hoop,heep,1
hos,hea,1
hus,ha,1
i,iim,1
i,iit,1
