word,plural,frequency
,s,199688
y,ies,12214
,es,8708
,,4767
um,a,1790
an,en,1722
is,es,1714
,e,983
us,i,917
on,a,607
,ta,502
ful,sful,376
o,i,279
s,des,235
x,ces,216
,im,186
s,i,173
rson,ople,166
,i,154
f,ves,137
a,e,105
,ses,84
fe,ves,76
ex,ices,71
ah,ot,70
e,i,66
,en,64
,x,63
a,i,60
,n,51
ah,oth,51
x,ges,50
,a,48
en,ina,41
a,ot,39
oot,eet,37
n,,37
,y,37
ouse,ice,35
,ren,35
a,y,32
,z,27
ey,ies,26
,zes,26
s,tes,25
e,ia,24
e,ae,22
a,oth,21
ff,ves,20
,nes,20
is,eis,19
e,ai,19
us,era,18
o,ines,17
o,,17
,m,16
,ae,16
,er,14
ooth,eeth,14
ful,esful,12
a,os,12
a,es,12
,ot,11
ah,os,11
oose,eese,11
s,,10
yful,iesful,10
,t,10
,oth,10
es,ai,10
o,hi,10
o,a,10
x,kes,8
s,es,8
us,a,8
e,a,7
ets,tsy,7
,un,7
,ob,7
,j,7
,in,7
,au,6
h,t,6
s,ta,6
es,ites,6
s,tia,6
ok,ki,6
z,ces,5
um,i,5
os,e,5
er,arim,5
,g,5
,k,5
,ach,5
,ia,5
,tes,4
ed,dim,4
us,ii,4
,at,4
,een,4
,u,4
us,ora,4
,ie,4
a,,4
el,lach,4
,ech,4
,ata,4
us,es,4
en,ines,4
,it,4
,r,4
ur,ora,4
us,odes,4
er,rim,4
q,t,4
,ar,3
us,is,3
os,i,3
,lar,3
um,ae,3
k,it,3
,ion,3
,ok,3
,is,3
,den,3
f,vim,3
ut,ita,3
s,ra,3
es,ae,3
l,ux,3
et,tim,3
l,is,3
a,or,3
eps,ipes,3
ad,den,3
el,alim,3
i,a,3
a,ur,3
,os,3
an,onim,2
us,ae,2
i,,2
sm,,2
os,sim,2
erfamilias,resfamilias,2
us,des,2
,ai,2
aon,eonim,2
a,in,2
full,sfull,2
m,ns,2
en,anim,2
ia,es,2
ot,ten,2
n,i,2
k,t,2
ar,roth,2
,se,2
u,i,2
et,ot,2
ek,ky,2
,q,2
onseigneur,esseigneurs,2
,des,2
adam,esdames,2
f,ven,2
o,e,2
,oi,2
e,ies,2
s,res,2
ah,im,2
t,s,2
ya,i,2
e,oi,2
,ov,2
eh,oth,2
fful,vesful,2
each,igh,2
il,ux,2
e,ce,2
fidi,wafid,2
anservant,enservants,2
ademoiselle,esdemoiselles,2
ak,ci,2
f,vs,2
,eanna,2
anchild,enchildren,2
el,lech,2
eder,adarim,2
,th,2
ka,ok,2
a,een,2
ny,ce,2
li,tin,2
s,e,2
ar,our,2
e,s,2
os,atim,2
er,ri,2
tis,des,2
q,it,2
,ean,2
ia,e,2
e,ata,2
y,ia,2
adame,esdames,2
onsieur,essieurs,2
os,ea,2
a,he,2
i,een,2
,ir,2
sibi,wasib,2
x,ches,2
eps,ipites,2
ets,tsi,2
juz,ajza,1
ah,iyos,1
rijite,warij,1
em,omim,1
oof,eef,1
okhol,akhly,1
umlungu,abelungu,1
ee,,1
ein,anim,1
saw,asaw,1
,le,1
misr,amsar,1
le,rren,1
orafe,erafe,1
eg,agim,1
uramba,iramba,1
sa,jes,1
t,ot,1
ax,ices,1
,essrs,1
nduna,zinduna,1
an,ni,1
est,sunt,1
khara,akhir,1
nasheed,anasheed,1
y,e,1
c,,1
amenukal,imenukalen,1
add,udud,1
w,ois,1
zil,azil,1
ann,enn,1
di,oud,1
ovabitch,sovbitches,1
en,onim,1
ek,iky,1
mganga,waganga,1
y,ce,1
,xes,1
ra,war,1
es,osim,1
h,ot,1
tl,,1
h,s,1
nia,en,1
moran,ilmoran,1
umkhwetha,abakwetha,1
inego,sinegoes,1
ah,ioth,1
by,sby,1
us,,1
at,ot,1
i,onin,1
es,ides,1
rs,esdames,1
kgotla,dikgotla,1
,ovi,1
riya,wari,1
amazigh,imazighen,1
ri,li,1
,tsy,1
,ja,1
,bi,1
umuzungu,abazungu,1
y,ees,1
e,tes,1
soa,osi,1
ngaka,dingaka,1
r,yr,1
erg,areg,1
kibanja,bibanja,1
umkhwetha,abakhwetha,1
,yat,1
h,e,1
ie,ce,1
aphil,ephilim,1
,tys,1
on,i,1
s,is,1
oste,atim,1
umuzungu,bazungu,1
,ens,1
es,aisim,1
eikh,uyookh,1
adol,edolim,1
itur,untur,1
er,res,1
us,ina,1
o,is,1
ie,s,1
uvabitch,suvbitches,1
ashah,shioth,1
a,s,1
s,x,1
onsr,essrs,1
hisname,theirnames,1
j,ljj,1
da,ren,1
sangoma,zangoma,1
indiq,andaqa,1
oote,eete,1
woman,swomen,1
,ah,1
mzungu,wazungu,1
e,ren,1
ongolawi,anagla,1
wa,awat,1
tambala,matambala,1
lma,walim,1
tar,darka,1
uy,luim,1
mbongi,zimbongi,1
sibongo,zibongo,1
omanhene,amanhene,1
als,ulus,1
eder,adorim,1
martial,smartial,1
esh,ashim,1
,ons,1
aliah,elihim,1
ootful,eetful,1
id,eda,1
,il,1
ils,ulus,1
zeeyeh,wazee,1
myometritis,endometritides,1
it,aisim,1
tur,ntur,1
imrah,emirot,1
it,eysim,1
sente,lisente,1
e,ides,1
s,isim,1
,as,1
x,ctes,1
mbongi,imbongi,1
ification,fications,1
,hang,1
ol,ly,1
hizb,ahzab,1
ya,at,1
oothmark,eethmarks,1
afiz,uffaz,1
umzulu,amazulu,1
al,is,1
waqf,awqaf,1
eq,aqim,1
,na,1
an,n,1
,eh,1
,em,1
afek,fekot,1
is,u,1
ah,iyoth,1
ushaf,asahif,1
er,ren,1
,zim,1
achresis,echreses,1
r,ar,1
s,thes,1
mosarwa,basarwa,1
nn,wan,1
ars,uroos,1
en,onem,1
ach,chim,1
ow,attle,1
nyanga,zinyanga,1
esh,shayim,1
tl,meh,1
ed,de,1
ilbab,alabib,1
ok,ukim,1
mbizo,zimbizo,1
ars,urus,1
araph,eraphim,1
eole,olae,1
wa,een,1
intaqah,anatiq,1
ah,iyot,1
sir,asir,1
r,essrs,1
ces,ses,1
ek,kim,1
lme,walim,1
nie,ce,1
ace,i,1
ootpaw,eetpaws,1
do,be,1
mon,yn,1
i,anim,1
ah,in,1
ann,inn,1
c,x,1
alim,ulama,1
ful,sfuls,1
rani,ara,1
is,eisim,1
itongo,amatongo,1
ote,a,1
wmwd,ymydau,1
eyrir,aurar,1
lilangeni,emalangeni,1
,la,1
