lemma,pos,suffix,anchor,qid,sid,etym,status,first_seen,last_seen,forms,glosses
abgeschmackt,adj,1,sig:abgeschmackter|abgeschmacktest,,,,active,2026-06-19,2026-06-19,abgeschmackter|abgeschmacktest,Outrageous; tasteless.
abject,adj,1,etym:1,,,1,active,2026-06-19,2026-06-19,abjecter|abjectest,"Existing in or sunk to a low condition, position, or state; contemptible, despicable, miserable."
able,adj,1,etym:1,,,1,active,2026-06-19,2026-06-19,abler|ablest,Having the necessary powers or the needed resources to accomplish a task.
abrupt,adj,1,sig:abrupter|abruptest,,,,active,2026-06-19,2026-06-19,abrupter|abruptest,Broken away (from restraint).
absent,adj,1,etym:1,,,1,active,2026-06-19,2026-06-19,absenter|absentest,Being away from a place; withdrawn from a place; existing but not present; (sometimes) missing.
absolute,adj,1,sid:en:physics absolute,,en:physics absolute,,active,2026-06-19,2026-06-19,absoluter|absolutest,"Free of restrictions, limitations, qualifications or conditions; unconditional."
abstract,adj,1,sig:abstracter|abstractest,,,,active,2026-06-19,2026-06-19,abstracter|abstractest,Derived; extracted.
abstruse,adj,1,sig:abstruser|abstrusest,,,,active,2026-06-19,2026-06-19,abstruser|abstrusest,Difficult to comprehend or understand; obscure.
absurd,adj,1,sig:absurder|absurdest,,,,active,2026-06-19,2026-06-19,absurder|absurdest,Contrary to reason or propriety; obviously and flatly opposed to manifest truth; inconsistent with the plain dictates of common sense; logically contradictory; nonsensical; ridiculous; silly.
acerb,adj,1,sig:acerber|acerbest,,,,active,2026-06-19,2026-06-19,acerber|acerbest,"Sour, bitter, and harsh to the taste, such as unripe fruit."
achey,adj,1,sig:achier|achiest,,,,active,2026-06-19,2026-06-19,achier|achiest,Alternative spelling of achy.
achy,adj,1,sig:achier|achiest,,,,active,2026-06-19,2026-06-19,achier|achiest,With or suffering from aches; sore.
acid,adj,1,sig:acider|acidest,,,,active,2026-06-19,2026-06-19,acider|acidest,"Sour, sharp, or biting to the taste; tart; having the taste of vinegar."
