lemma,pos,suffix,anchor,qid,sid,etym,status,first_seen,last_seen,forms,glosses
aabfs,noun,1,sig:aabfss,,,,active,2025-08-17,2025-08-17,aabfss,
aacs,noun,1,sig:aacss,,,,active,2025-08-17,2025-08-17,aacss,
aadccs,noun,1,sig:aadccss,,,,active,2025-08-17,2025-08-17,aadccss,
aandblom,noun,1,sig:aandblomme,,,,active,2025-08-17,2025-08-17,aandblomme,
aanhpi,noun,2,sig:aanhpi,,,,active,2025-08-17,2025-08-17,aanhpi,
aapi,noun,2,sig:aapi,,,,active,2025-08-17,2025-08-17,aapi,
aars,noun,2,sig:aarss,,,,active,2025-08-17,2025-08-17,aarss,
aas,noun,1,sig:aass,,,,active,2025-08-17,2025-08-17,aass,
aatman,noun,1,sig:aatmans,,,,active,2025-08-17,2025-08-17,aatmans,
ababda,noun,2,sig:ababda,,,,active,2025-08-17,2025-08-17,ababda,
ababdeh,noun,2,sig:ababdeh,,,,active,2025-08-17,2025-08-17,ababdeh,
ababua,noun,2,sig:ababua,,,,active,2025-08-17,2025-08-17,ababua,
abaciscus,noun,2,sig:abacisci,,,,active,2025-08-17,2025-08-17,abacisci,
abaculus,noun,1,sig:abaculi,,,,active,2025-08-17,2025-08-17,abaculi,
abacus,noun,2,sig:abaci,,,,active,2025-08-17,2025-08-17,abaci,
abakweta,noun,2,sig:abakweta,,,,active,2025-08-17,2025-08-17,abakweta,
abakwetha,noun,2,sig:abakwetha,,,,active,2025-08-17,2025-08-17,abakwetha,
abangan,noun,1,sig:abangan,,,,active,2025-08-17,2025-08-17,abangan,
abas,noun,1,sig:abas,,,,active,2025-08-17,2025-08-17,abas,
abatis,noun,2,sig:abatis,,,,active,2025-08-17,2025-08-17,abatis,
abatsons,noun,1,sig:abatsons,,,,active,2025-08-17,2025-08-17,abatsons,
abattis,noun,2,sig:abattis,,,,active,2025-08-17,2025-08-17,abattis,
abatvoix,noun,1,sig:abatvoix,,,,active,2025-08-17,2025-08-17,abatvoix,
abatwa,noun,1,sig:abatwa,,,,active,2025-08-17,2025-08-17,abatwa,
abayudaya,noun,2,sig:abayudaya,,,,active,2025-08-17,2025-08-17,abayudaya,
abbozzo,noun,1,sig:abbozzi,,,,active,2025-08-17,2025-08-17,abbozzi,
abd,noun,2,sig:abd,,,,active,2025-08-17,2025-08-17,abd,
abdomen,noun,2,sig:abdomina,,,,active,2025-08-17,2025-08-17,abdomina,
abducens,noun,1,sig:abducentes,,,,active,2025-08-17,2025-08-17,abducentes,
abductor,noun,2,sig:abductores,,,,active,2025-08-17,2025-08-17,abductores,
abecedarius,noun,2,sig:abecedarii,,,,active,2025-08-17,2025-08-17,abecedarii,
abeed,noun,2,sig:abeed,,,,active,2025-08-17,2025-08-17,abeed,
abelam,noun,2,sig:abelam,,,,active,2025-08-17,2025-08-17,abelam,
abelungu,noun,1,sig:abelungu,,,,active,2025-08-17,2025-08-17,abelungu,
abenaki,noun,2,sig:abenaki,,,,active,2025-08-17,2025-08-17,abenaki,
abendmusik,noun,1,sig:abendmusiken,,,,active,2025-08-17,2025-08-17,abendmusiken,
abenlen,noun,2,sig:abenlen,,,,active,2025-08-17,2025-08-17,abenlen,
abhaz,noun,1,sig:abhaz,,,,active,2025-08-17,2025-08-17,abhaz,
abhenry,noun,2,sig:abhenrys,,,,active,2025-08-17,2025-08-17,abhenrys,
abhuman,noun,1,sig:abhumans,,,,active,2025-08-17,2025-08-17,abhumans,
abid,noun,2,sig:abid,,,,active,2025-08-17,2025-08-17,abid,
