lemma,pos,suffix,anchor,qid,sid,etym,status,first_seen,last_seen,forms,glosses
ab,verb,1,etym:3,,,3,active,2026-06-19,2026-06-19,abs|abbed|abbing|abbed,To abseil.
abar,verb,1,sig:abars|abarred|abaring|abarred,,,,active,2026-06-19,2026-06-19,abars|abarred|abaring|abarred,"To bar, prohibit, or block."
abear,verb,1,sig:abears|abore|abearing|aborn,,,,active,2026-06-19,2026-06-19,abears|abore|abearing|aborn,To put up with; to endure; to bear.
abegge,verb,1,sig:abegges|abought|abegging|abought,,,,active,2026-06-19,2026-06-19,abegges|abought|abegging|abought,Obsolete form of aby.
abet,verb,1,sig:abets|abetted|abetting|abetted,,,,active,2026-06-19,2026-06-19,abets|abetted|abetting|abetted,To incite; to assist or encourage by aid or countenance in crime.
abey,verb,1,sig:abeys|abeyed|abeying|abeyed,,,,active,2026-06-19,2026-06-19,abeys|abeyed|abeying|abeyed,To hold in abeyance; to suspend.
abhor,verb,1,sig:abhors|abhorred|abhorring|abhorred,,,,active,2026-06-19,2026-06-19,abhors|abhorred|abhorring|abhorred,To regard (someone or something) as horrifying or detestable; to feel great repugnance toward.
abide,verb,1,sig:abides|abid|abiding|abid,,,,active,2026-06-19,2026-06-19,abides|abid|abiding|abid,To endure without yielding; to withstand.
abite,verb,1,sig:abites|abit|abiting|abitten,,,,active,2026-06-19,2026-06-19,abites|abit|abiting|abitten,To bite; eat; devour.
abraid,verb,1,etym:1,,,1,active,2026-06-19,2026-06-19,abraids|abraid|abraiding|abraid,To wrench (something) out.
abray,verb,1,sig:abrays|abrayed|abraying|abrayed,,,,active,2026-06-19,2026-06-19,abrays|abrayed|abraying|abrayed,Obsolete form of abraid.
absorp,verb,1,sig:absorps|absorped|absorping|absorped,,,,active,2026-06-19,2026-06-19,absorps|absorped|absorping|absorped,Rare form of absorb.
abut,verb,1,etym:1,,,1,active,2026-06-19,2026-06-19,abuts|abutted|abutting|abutted,"To touch by means of a mutual border, edge or end; to border on; to lie adjacent (to); to be contiguous (said of an area of land)"
abuttal,verb,1,sig:abuttals|abuttalled|abuttalling|abuttalled,,,,active,2026-06-19,2026-06-19,abuttals|abuttalled|abuttalling|abuttalled,To describe a piece of land in terms of its abuttals.
aby,verb,1,sig:abies|abought|abying|abought,,,,active,2026-06-19,2026-06-19,abies|abought|abying|abought,"To pay the penalty for (something); to atone for, to make amends."
accloy,verb,1,sig:accloys|accloyed|accloying|accloyed,,,,active,2026-06-19,2026-06-19,accloys|accloyed|accloying|accloyed,To drive a nail into a horseshoe; to lame.
accoy,verb,1,sig:accoys|accoyed|accoying|accoyed,,,,active,2026-06-19,2026-06-19,accoys|accoyed|accoying|accoyed,"To soothe, to calm; to assuage, to subdue."
acknow,verb,1,sig:acknows|acknew|acknowing|acknown,,,,active,2026-06-19,2026-06-19,acknows|acknew|acknowing|acknown,To recognize.
acknowledg,verb,1,sig:acknowledges|acknowledged|acknowledging|acknowledged,,,,active,2026-06-19,2026-06-19,acknowledges|acknowledged|acknowledging|acknowledged,Obsolete form of acknowledge.
acoy,verb,1,sig:acoys|acoyed|acoying|acoyed,,,,active,2026-06-19,2026-06-19,acoys|acoyed|acoying|acoyed,Alternative form of accoy.
acquit,verb,1,sig:acquits|acquitted|acquitting|acquitted,,,,active,2026-06-19,2026-06-19,acquits|acquitted|acquitting|acquitted,To declare or find innocent or not guilty.
adfreeze,verb,1,sig:adfreezes|adfroze|adfreezing|adfrozen,,,,active,2026-06-19,2026-06-19,adfreezes|adfroze|adfreezing|adfrozen,To freeze together; to adhere through the formation of ice.
adjudg,verb,1,sig:adjudges|adjudged|adjudging|adjudged,,,,active,2026-06-19,2026-06-19,adjudges|adjudged|adjudging|adjudged,Obsolete spelling of adjudge.
adlib,verb,1,sig:adlibs|adlibbed|adlibbing|adlibbed,,,,active,2026-06-19,2026-06-19,adlibs|adlibbed|adlibbing|adlibbed,Alternative form of ad lib.
admin,verb,1,sig:admins|adminned|adminning|adminned,,,,active,2026-06-19,2026-06-19,admins|adminned|adminning|adminned,To serve as an administrator for or of.
admit,verb,1,sig:admits|admitted|admitting|admitted,,,,active,2026-06-19,2026-06-19,admits|admitted|admitting|admitted,"To allow to enter; to grant entrance (to), whether into a place, into the mind, or into consideration"
adraw,verb,1,sig:adraws|adrew|adrawing|adrawn,,,,active,2026-06-19,2026-06-19,adraws|adrew|adrawing|adrawn,To draw out; to draw (a sword).
adree,verb,1,sig:adrees|adreed|adreeing|adreed,,,,active,2026-06-19,2026-06-19,adrees|adreed|adreeing|adreed,"To carry on; practice; pass (life, time, etc.)."
adsorp,verb,1,sig:adsorps|adsorped|adsorping|adsorped,,,,active,2026-06-19,2026-06-19,adsorps|adsorped|adsorping|adsorped,To adsorb
