wiktionary_form,degree
dubious,Superlative
baby-er,Comparative
baby-est,Superlative
rightest,Superlative
honier,Comparative
honiest,Superlative
gooder,Comparative
goodest,Superlative
hazeler,Comparative
hazelest,Superlative
flyer,Comparative
flyest,Superlative
further inset,Comparative
furthest inset,Superlative
better known,Comparative
best known,Superlative
complexer,Comparative
complexest,Superlative
further,Comparative
furthermost,Superlative
elder,Comparative
oldermost,Superlative
betterer,Comparative
betterest,Superlative
further upstairs,Comparative
furthest upstairs,Superlative
weller,Comparative
wellest,Superlative
liever,Comparative
lievest,Superlative
intelligenter,Comparative
intelligentest,Superlative
gingerer,Comparative
gingerest,Superlative
gingerer,Comparative
gingerest,Superlative
further front,Comparative
furthest front,Superlative
littler,Comparative
littlest,Superlative
bester,Comparative
bestest,Superlative
further advanced,Comparative
furthest advanced,Superlative
further aged,Comparative
furthest aged,Superlative
readabler,Comparative
readablest,Superlative
funner,Comparative
funnest,Superlative
dangerouser,Comparative
dangerousest,Superlative
honester,Comparative
honestest,Superlative
royaller,Comparative
royallest,Superlative
near,Comparative
next,Superlative
leveller,Comparative
levellest,Superlative
behinder,Comparative
behindest,Superlative
adverser,Comparative
adversest,Superlative
darlinger,Comparative
wryer,Comparative
wryest,Superlative
luxiest,Superlative
slyer,Comparative
slyest,Superlative
spitefuller,Comparative
spitefullest,Superlative
wilfuller,Comparative
wilfullest,Superlative
favouritest,Superlative
cheerfuller,Comparative
cheerfullest,Superlative
impudenter,Comparative
impudentest,Superlative
outermore,Comparative
nervouser,Comparative
nervousest,Superlative
desperater,Comparative
desperatest,Superlative
likelier,Comparative
likeliest,Superlative
unbelievabler,Comparative
unbelievablest,Superlative
uncertainer,Comparative
peacefuler,Comparative
peacefulest,Superlative
unwieldier,Comparative
unwieldiest,Superlative
gingerlier,Comparative
gingerliest,Superlative
further upriver,Comparative
furthest upriver,Superlative
further uphill,Comparative
furthest uphill,Superlative
further upstream,Comparative
furthest upstream,Superlative
shininger,Comparative
shiningest,Superlative
delightfuller,Comparative
delightfullest,Superlative
worrisomer,Comparative
worrisomest,Superlative
motleyer,Comparative
motleyest,Superlative
fraughter,Comparative
fraughtest,Superlative
unsightlier,Comparative
unsightliest,Superlative
conceiteder,Comparative
conceitedest,Superlative
maggotier,Comparative
maggotiest,Superlative
further downhill,Comparative
furthest downhill,Superlative
further downstream,Comparative
furthest downstream,Superlative
dolefuler,Comparative
dolefulest,Superlative
moe-er,Comparative
moe-est,Superlative
better matching,Comparative
best matching,Superlative
believabler,Comparative
believablest,Superlative
smoller,Comparative
smollest,Superlative
willfuller,Comparative
willfullest,Superlative
darnder,Comparative
darndest,Superlative
easiergoing,Comparative
easiestgoing,Superlative
unfree-er,Comparative
further recessed,Comparative
furthest recessed,Superlative
mair reet,Comparative
maist reet,Superlative
wieldier,Comparative
wieldiest,Superlative
farther downrange,Comparative
farthest downrange,Superlative
ultradryer,Comparative
ultradryest,Superlative
further ultraleft,Comparative
furthest ultraleft,Superlative
further ultraright,Comparative
furthest ultraright,Superlative
further downcoast,Comparative
furthest downcoast,Superlative
doggoneder,Comparative
undumbest,Superlative
