positive,comparative,superlative
trippy,trippier,trippiest
timely,timelier,timeliest
wanky,wankier,wankiest
gothy,gothier,gothiest
wheelie,wheelier,wheeliest
ginchy,ginchier,ginchiest
hale,haler,halest
lucid,lucider,lucidest
smexy,smexier,smexiest
blind,blinder,blindest
true2,truer,truest
normal,normaler,normalest
obstruse,obstruser,obstrusest
steamy,steamier,steamiest
laggy,laggier,laggiest
scarce,scarcer,scarcest
slithery,slitherier,slitheriest
swish,swisher,swishest
lush,lusher,lushest
impolite,impoliter,impolitest
fell,feller,fellest
ghosty,ghostier,ghostiest
moany,moanier,moaniest
sely,selier,seliest
flimsy,flimsier,flimsiest
doofy,doofier,doofiest
empty,emptier,emptiest
plane,planer,planest
scrummy,scrummier,scrummiest
manful,manfuller,manfullest
unskinny,unskinnier,unskinniest
tomatoey,tomatoier,tomatoiest
wholsome,wholsomer,wholsomest
rushy2,rushier,rushiest
august,auguster,augustest
hippy,hippier,hippiest
milfy,milfier,milfiest
waspy,waspier,waspiest
brazen,brazener,brazenest
cheerly,cheerlier,cheerliest
kiddy,kiddier,kiddiest
bangy,bangier,bangiest
muscly,musclier,muscliest
slurpy,slurpier,slurpiest
rumply,rumplier,rumpliest
gawky,gawkier,gawkiest
dopy,dopier,dopiest
crapy,crapier,crapiest
weensy,weensier,weensiest
fashy,fashier,fashiest
quay,quayer,quayest
humane,humaner,humanest
stupid,stupider,stupidest
abgeschmackt,abgeschmackter,abgeschmacktest
grumly,grumlier,grumliest
sudsy,sudsier,sudsiest
puce,pucer,pucest
unwise,unwiser,unwisest
shmexy,shmexier,shmexiest
swoopy,swoopier,swoopiest
weeby,weebier,weebiest
massy,massier,massiest
nebbie,nebbier,nebbiest
plush,plusher,plushest
twitchy,twitchier,twitchiest
shingly,shinglier,shingliest
dozy,dozier,doziest
cold,colder,coldest
waggly,wagglier,waggliest
soily,soilier,soiliest
nobby,nobbier,nobbiest
skyey,skyier,skyiest
worthless,worthlesser,worthlessest
jazzy,jazzier,jazziest
tart,tarter,tartest
savory,savorier,savoriest
schmoozy,schmoozier,schmooziest
slee,sleer,sleest
chirpy,chirpier,chirpiest
tweeny,tweenier,tweeniest
bowsy,bowsier,bowsiest
handsome,handsomer,handsomest
knobby,knobbier,knobbiest
breaky,breakier,breakiest
misty,mistier,mistiest
stilly,stillier,stilliest
hincty,hinctier,hinctiest
bloody,bloodier,bloodiest
lowd,lowder,lowdest
chubby,chubbier,chubbiest
urbane,urbaner,urbanest
knightly,knightlier,knightliest
frothy,frothier,frothiest
schlumpy,schlumpier,schlumpiest
rich,richer,richest
camp,camper,campest
slaphappy,slaphappier,slaphappiest
coconutty,coconuttier,coconuttiest
icy,icier,iciest
acid,acider,acidest
hind,hinder,hindmost
lank,lanker,lankest
smushy,smushier,smushiest
icey,icier,iciest
strange,stranger,strangest
sooty,sootier,sootiest
dreich,dreicher,dreichest
woggy,woggier,woggiest
fleshly,fleshlier,fleshliest
stumbly,stumblier,stumbliest
steady,steadier,steadiest
meagre,meagrer,meagrest
snappy,snappier,snappiest
coiny,coinier,coiniest
coaly,coalier,coaliest
fragile,fragiler,fragilest
ebbe,ebber,ebbest
insane,insaner,insanest
shady,shadier,shadiest
gurly2,gurlier,gurliest
woofy,woofier,woofiest
trouty,troutier,troutiest
wavey,wavier,waviest
dingy,dingier,dingiest
pawky,pawkier,pawkiest
bumpy,bumpier,bumpiest
sower,sowerer,sowerest
foofy,foofier,foofiest
draughty,draughtier,draughtiest
mussy,mussier,mussiest
plucky,pluckier,pluckiest
glissy,glissier,glissiest
viny,vinier,viniest
pastey,pastier,pastiest
chirk,chirker,chirkest
nippy,nippier,nippiest
dready,dreadier,dreadiest
comely,comelier,comeliest
zate,zater,zatest
earthly2,earthlier,earthliest
savoury,savourier,savouriest
glurgy,glurgier,glurgiest
bowery2,bowerier,boweriest
scurfy,scurfier,scurfiest
ungood,ungooder,ungoodest
gruff2,gruffer,gruffest
reedy,reedier,reediest
abstract,abstracter,abstractest
countly,countlier,countliest
jealous,jealouser,jealousest
christmassy,christmassier,christmassiest
bully,bullier,bulliest
brash,brasher,brashest
prosey,prosier,prosiest
fringy,fringier,fringiest
gaggy,gaggier,gaggiest
dahk,dahker,dahkest
pallid,pallider,pallidest
nervy,nervier,nerviest
balloony,balloonier,ballooniest
yearny,yearnier,yearniest
gay,gayer,gayest
prow,prower,prowest
snarky,snarkier,snarkiest
plaguy,plaguier,plaguiest
fiddly,fiddlier,fiddliest
nifty,niftier,niftiest
sharp,sharper,sharpest
squiggly,squigglier,squiggliest
trusty,trustier,trustiest
steepy,steepier,steepiest
poorly,poorlier,poorliest
pointy,pointier,pointiest
folksy,folksier,folksiest
brainy,brainier,brainiest
airy,airier,airiest
grislie,grislier,grisliest
quenchy,quenchier,quenchiest
crashy,crashier,crashiest
thwarty,thwartier,thwartiest
pulpy,pulpier,pulpiest
echoey,echoier,echoiest
yachty,yachtier,yachtiest
dippy,dippier,dippiest
geeky,geekier,geekiest
fab2,fabber,fabbest
billowy,billowier,billowiest
choice,choicer,choicest
comfy,comfier,comfiest
soy,soyer,soyest
tingly,tinglier,tingliest
coachy,coachier,coachiest
turfy,turfier,turfiest
mauve,mauver,mauvest
rosy,rosier,rosiest
limp,limper,limpest
gritty,grittier,grittiest
yaller,yallerer,yallerest
huggly,hugglier,huggliest
spritzy,spritzier,spritziest
whole,wholer,wholest
moody,moodier,moodiest
cloggy,cloggier,cloggiest
heavenly2,heavenlier,heavenliest
filmy,filmier,filmiest
goundy,goundier,goundiest
flinty,flintier,flintiest
shysty,shystier,shystiest
dadgum,more dadgum,dadgummest
nubby,nubbier,nubbiest
girlie,girlier,girliest
quirky,quirkier,quirkiest
flip,flipper,flippest
adept,adepter,adeptest
wersh,wersher,wershest
hench,hencher,henchest
summery,summerier,summeriest
tired2,tireder,tiredest
sugary,sugarier,sugariest
fake,faker,fakest
crool,crooler,croolest
bullshitty,bullshittier,bullshittiest
daffy,daffier,daffiest
charry,charrier,charriest
showy,showier,showiest
brisk,brisker,briskest
buirdly,buirdlier,buirdliest
yar2,yarer,yarest
serene,serener,serenest
slim,slimmer,slimmest
thoughtworthy,thoughtworthier,thoughtworthiest
yummy,yummier,yummiest
lite2,liter,litest
goopy,goopier,goopiest
zappy,zappier,zappiest
forlorn,forlorner,forlornest
cursed,curseder,cursedest
quaky,quakier,quakiest
sprightly,sprightlier,sprightliest
shrewde,shrewder,shrewdest
cleanly,cleanlier,cleanliest
wintry,wintrier,wintriest
moony,moonier,mooniest
muggy,muggier,muggiest
dapper,dapperer,dapperest
wanton,wantoner,wantonest
shrieky,shriekier,shriekiest
thorough,thorougher,thoroughest
reckless,recklesser,recklessest
hoardy,hoardier,hoardiest
wriggly,wrigglier,wriggliest
austere,austerer,austerest
haunted,more haunted,hauntedest
clicky,clickier,clickiest
supple,suppler,supplest
showery,showerier,showeriest
sporty,sportier,sportiest
rum,rummer,rummest
artsie,artsier,artsiest
dumbass,dumberass,dumbestass
thin,thinner,thinnest
handsy,handsier,handsiest
crampy,crampier,crampiest
seaworthy,seaworthier,seaworthiest
weedy,weedier,weediest
plushy,plushier,plushiest
chunky,chunkier,chunkiest
snipey,snipier,snipiest
gorky,gorkier,gorkiest
skuzzy,skuzzier,skuzziest
quakey,quakier,quakiest
twiddly,twiddlier,twiddliest
shrimpy,shrimpier,shrimpiest
rapey,rapier,rapiest
doleful,dolefuller,dolefullest
duddy,duddier,duddiest
honey,honeyer,honeyest
yoong,yoonger,yoongest
spoofy,spoofier,spoofiest
glary,glarier,glariest
icky,ickier,ickiest
wurly,wurlier,wurliest
content2,contenter,most content
slinky,slinkier,slinkiest
dutchy2,dutchier,dutchiest
churchly,churchlier,churchliest
frass,frasser,frassest
chaste,chaster,chastest
plebby,plebbier,plebbiest
grave,graver,gravest
braky,brakier,brakiest
finnicky,finnickier,finnickiest
punky,punkier,punkiest
sulky,sulkier,sulkiest
drapey,drapier,drapiest
warmy,warmier,warmiest
short,shorter,shortest
dancy2,dancier,danciest
shoaly,shoalier,shoaliest
yawny,yawnier,yawniest
pouty,poutier,poutiest
u2,uer,uest
stern,sterner,sternest
shlubby,shlubbier,shlubbiest
plighty,plightier,plightiest
prosy,prosier,prosiest
sunly,sunlier,sunliest
childly,childlier,childliest
scratchy,scratchier,scratchiest
beastly,beastlier,beastliest
corky,corkier,corkiest
foine,foiner,foinest
frowsy,frowsier,frowsiest
lightweight,lighterweight,lightestweight
gappy,gappier,gappiest
sandy,sandier,sandiest
tony,tonier,toniest
spiky,spikier,spikiest
cuuute,cuuuter,cuuutest
leeward,more leeward,leewardmost
