wiki_single,wiktionary_plural
encyclopedia,encyclopediæ
abscissa,abscissæ
irc,irc's
colon,coli
index,index's
cow,kye
penny,pens
boy,boyz
brother,brethren
sister,sistren
daughter,daughtren
how,how's
pupa,pupæ
vertebra,vertebræ
moose,meese
mc,mc's
eye,eyne
ok,ok's
fellah,fellahin
fellah,fellaheen
do,do's
larva,larvæ
shoe,shoon
why,why's
apparatus,apparatûs
apparatus,apparatūs
camera,cameræ
polynya,polynyi
octopus,octopii
house,hice
subpoena,subpoenæ
c,c's
k,k's
q,q's
v,v's
hyperbola,hyperbolæ
rhinoceros,rhinoceri
abc,abc's
idea,ideæ
genus,genii
uva,uvæ
area,areæ
tolar,tolarji
flea,fleen
philistine,philistim
real,reis
real,réis
seraph,seraphims
testa,testæ
fatwa,fatawa
axis,axiis
penumbra,penumbræ
panacea,panaceæ
stepbrother,stepbrethren
atlas,atlantes
hernia,herniæ
mohawk,"""mohawks"" in all other senses"
nebula,nebulæ
formula,formulæ
vita,vitæ
hydra,hydræ
liber,libri
zona,zonæ
metropolis,metropolizes
metropolis,metropolis's
fenestra,fenestræ
sow,swine
lamb,lamber
lamb,lambren
pea,pease
portcullis,portscullis
nymph,nymphae
hobbit,hobbitses
cornucopia,cornucopiæ
sock,sox
toga,togæ
ala,alæ
catapulta,catapultæ
palpebra,palpebræ
vagina,vaginæ
axolotl,axolots
cicada,cicadæ
phobia,phobiæ
seder,sidarim
minutia,minutiæ
trachea,tracheæ
corgi,corgwn
alum,alumni
amir,umara
boa,boæ
corona,coronæ
evzone,evzonoi
fovea,foveæ
lacuna,lacunæ
umbra,umbræ
vis,vires
ballista,ballistæ
fascia,fasciæ
fauna,faunæ
punk,punx
saliva,salivæ
amnesia,amnesiæ
inertia,inertiæ
supernova,supernovæ
sos,sos's
asbestos,asbesti
persona,personæ
molecule,moleculæ
garda,gardaí
parabola,parabolæ
arena,arenæ
shits,the shits
cassia,cassiæ
pectus,pectora
retina,retinæ
spatula,spatulæ
sonofabitch,sonsofbitches
aura,auræ
bris,britot
ethos,ethea
hysteria,hysteriæ
paranoia,paranoiæ
stipes,stipites
cannula,cannulæ
gaeltacht,gaeltachtaí
pseudopod,pseudopodia
flora,floræ
slr,slr's
stria,striæ
nausea,nauseæ
fut,feet
uvula,uvulæ
vulva,vulvæ
lek,lekë
lb,lbs.
anemia,anemiæ
tiara,tiaræ
ceilidh,ceilidhean
furcula,furculæ
cc,cc's
cornea,corneæ
da,da's
monomania,monomaniæ
hermes,hermae
rpm,rpm's
fibula,fibulæ
maxilla,maxillæ
a,a's
garda,gardaí
i,i's
j,j's
o,o's
slav,slavi
v,v's
z,z's
tabula,tabulæ
willies,the willies
pneumonia,pneumoniæ
injuria,injuriæ
areola,areolæ
emir,umara
hadith,ahadith
rv,rv's
kafir,kuffar
ko,ko's
acs,acs's
fistula,fistulæ
kindergarten,kindergärten
sclera,scleræ
seta,setæ
klezmer,klezmorim
bandit,banditti
oss,oss's
hots,the hots
aula,aulæ
airbus,airbii
tropics,the tropics
lamina,laminæ
cbd,cbd's
medusa,medusæ
scrofula,scrofulæ
brennschluss,brennschlüsse
medulla,medullæ
mentula,mentulæ
stations,the stations
corolla,corollæ
sultan,salateen
mastiff,mastives
lexis,lexeis
concha,conchæ
chorea,choreæ
sequela,sequelæ
stewardess,stewardii
sniffles,the sniffles
fackeltanz,fackeltänze
skins,the skins
zugzwang,zugzwänge
litas,litų
hryvnia,hryven
halier,halierov
aureus,aureii
kleenex,kleenices
kleenex,kleenices
pecten,pectines
nineties,the nineties
oleh,olim
dolos,dolosse
almah,awalim
fossa,fossæ
essentials,the essentials
matzoh,matzot
mk,mk's
fach,fächer
creeps,the creeps
shangaan,shangani
draugr,draugar
membrana,membranæ
shakes,the shakes
rts,rts's
aliyah,aliyos
conceptus,conceptūs
cowan,cowanis
phy,phy's
jinn,jawan
spins,the spins
splits,the splits
blahs,the blahs
wanderwort,wanderwörter
altepetl,altepemeh
bursa,bursæ
coryza,coryzæ
cursus,cursūs
tupuna,tūpuna
lunula,lunulæ
pan,pen
madrasah,madaris
prophases,prophaseis
phosphorescences,phosphorescenses
underhanded,the underhanded
geis,geasa
crista,cristæ
faqih,fuqaha'
fbo,fbo's
stipula,stipulæ
kgotla,dikgotla
landammann,landammänner
habenula,habenulæ
chetrum,chhertum
sefer,sefarim
wirtshaus,wirtshäuser
stoa,stoæ
cithara,citharæ
