word,plural
e,es
n,ns
r,rs
t,ts
d,ds
a,as
l,ls
g,gs
m,ms
s,ses
k,ks
o,os
p,ps
h,hs
ty,ties
c,cs
i,is
ry,ries
h,hes
y,ys
man,men
sis,ses
b,bs
my,mies
ium,ia
w,ws
f,fs
a,ae
hy,hies
x,xes
cy,cies
u,us
i,i
s,s
gy,gies
a,a
o,oes
ly,lies
a,ata
ny,nies
e,e
dy,dies
h,h
py,pies
n,n
v,vs
o,o
u,u
lus,li
is,ides
sy,sies
ron,ra
lum,la
ion,ia
s,ss
ky,kies
ix,ices
z,zes
os,oi
erson,eople
tum,ta
q,qs
t,t
by,bies
k,k
r,r
xy,xies
g,g
rum,ra
eus,ei
to,ti
cus,ci
s,sses
j,js
l,l
tis,tes
ius,ii
tus,ti
ife,ives
xis,xes
no,ni
rus,ri
d,d
eful,esful
eum,ea
num,na
u,ux
m,m
vy,vies
tful,tsful
k,ki
lf,lves
zy,zies
sus,si
r,res
gus,gi
nful,nsful
y,y
z,z
af,aves
rful,rsful
i,ies
lo,li
lon,la
hus,hi
c,c
dum,da
men,mina
e,en
n,nim
nus,ni
nx,nges
ton,ta
x,x
n,nes
non,na
foot,feet
ka,ki
an,a
fy,fies
mus,mi
d,dren
z,zs
p,p
x,xs
r,rim
h,him
a,ai
bus,bi
kful,ksful
lis,les
tex,tices
lful,lsful
mouse,mice
oon,oa
z,zzes
cum,ca
l,les
ne,ni
r,ri
w,w
pus,pi
j,jes
pful,psful
ax,aces
aff,aves
do,di
o,ones
ta,te
f,f
fan,fen
uum,ua
dful,dsful
ef,eves
io,i
la,le
le,lia
n,ne
t,ten
uy,uies
dus,di
gful,gsful
mum,ma
ns,ntes
b,b
con,ca
d,des
eon,ea
na,ne
rah,rot
i,ia
lex,lices
lis,leis
ra,re
tooth,teeth
d,dae
h,hen
n,ni
so,si
xon,xa
zo,zi
d,dim
i,im
ia,ie
go,gines
ka,ky
mful,msful
nus,nera
rah,roth
ris,res
ro,ri
g,ges
goose,geese
j,j
k,kim
l,lim
na,ny
sum,sa
t,te
t,tim
tes,tai
wful,wsful
y,yes
co,chi
h,hi
pex,pices
t,tes
wy,wies
zah,zot
a,at
dex,dices
g,ge
g,gim
hful,hsful
is,i
le,lae
le,li
louse,lice
mo,mi
mon,ma
nah,not
ney,nies
q,q
re,ri
rf,rves
ta,ti
vum,va
vus,vi
yx,yces
za,ze
a,az
bful,bsful
ha,hot
k,ky
lah,lot
r,ra
te,ti
vis,ves
z,zy
as,ata
bis,bes
do,dines
ha,hos
hah,hot
hon,ha
lah,loth
m,ma
ma,me
n,ny
ns,ntia
of,oves
pah,pot
ra,rot
s,sen
ta,tes
u,ua
v,v
z,zim
za,zot
a,aim
ah,at
as,ades
as,ai
ax,akes
co,ci
g,gen
ga,gi
h,hy
hful,hesful
l,lach
le,lai
m,mim
me,mai
nis,nes
o,oj
r,re
ra,roth
ryful,riesful
s,sim
se,si
sful,sesful
yful,ysful
yx,yges
zah,zoth
as,ates
bah,both
ce,ci
d,der
es,etes
ex,eces
ex,eges
ge,gi
gon,ga
gum,ga
h,hot
h,hoth
ha,hoth
hah,hoth
io,ia
key,kies
l,lech
l,li
l,lz
la,los
la,lot
lum,li
m,mata
mes,mites
mis,mes
mur,mora
n,ntes
nah,noth
pa,pot
pus,podes
sa,se
t,ter
t,ti
ux,uces
va,vot
vo,vi
x,xen
xum,xa
ys,yes
z,zi
za,zoth
aad,aden
al,aux
bex,bices
ceps,cipes
cis,ces
d,da
d,dau
d,dden
d,dy
dah,dot
der,darim
e,ees
e,er
eus,eis
fah,fot
fex,fices
h,ha
h,he
hok,hki
ix,ikes
k,ken
k,ker
kah,koth
kon,ka
l,lia
l,ln
la,li
m,mi
me,ma
n,nob
n,not
n,noth
n,nz
na,ni
ne,na
ne,nae
nets,ntsy
o,og
pah,poth
pe,pae
po,pi
ps,pes
pus,pora
put,pita
q,qim
r,ren
ra,ry
re,ria
rex,rices
s,se
sa,sy
sey,sies
t,ty
u,uen
u,ues
u,uit
uk,uit
v,vim
vah,voth
vey,vies
ya,yot
yfe,yves
yon,ya
z,ze
afidi,awafid
aful,asful
ail,aux
ak,at
al,ais
aq,at
as,ae
asibi,awasib
az,aces
b,bz
bah,bot
ban,ben
bi,ba
bos,batim
bum,ba
ce,cies
ceps,cipites
cus,cera
d,de
d,deen
d,den
d,dn
d,dz
da,des
