wiki_single,wiktionary_plural
encyclopedia,encyclopediæ
pound,pound
month,month
abscissa,abscissæ
lens,lens
lens,lentes
year,year
irc,irc's
stock,stocken
comma,commata
comma,commaes
turkey,turkies
portuguese,portugueses
index,index's
cow,kye
cow,kine
citrus,citrusses
penny,pens
deer,deers
tree,treen
boy,boyz
brother,brethren
sister,sistren
child,childer
daughter,daughtren
bee,been
honey,honies
how,how's
khaki,khakies
pupa,pupæ
vertebra,vertebræ
moose,meese
equinox,equinoctes
replica,repliche
mc,mc's
eye,eyen
eye,eyne
ok,ok's
acre,acre
foot,foot
knee,kneen
pizza,pizze
do,do's
maori,maories
larva,larvæ
syntax,syntaces
syntax,syntices
sheep,sheeps
shoe,shoon
shoe,shoen
why,why's
apparatus,apparatûs
apparatus,apparatūs
apparatus,apparati
camera,cameræ
camera,camerae
cheese,cheesen
complex,complices
cloth,clothes
box,boxen
basis,baseis
basis,basises
polynya,polynyi
piano,pianoes
octopus,octopusses
octopus,octopi
octopus,octopii
octopus,octopodes
octopus,octopus
beaver,beaver
donkey,donkies
otter,otter
fox,foxen
house,housen
house,hice
stone,stone
jew,jewes
subpoena,subpoenæ
c,c's
k,k's
q,q's
v,v's
calf,calfs
integer,integri
hyperbola,hyperbolæ
attorney,attornies
rhinoceros,rhinoceri
rhinoceros,rhinoceroi
rhinoceros,rhinocerotes
extremity,extremitys
granary,granarys
abc,abc's
elf,elfs
idea,ideæ
phylum,phylums
genus,genusses
genus,genii
uva,uvæ
area,areæ
mile,mile
tolar,tolarja
flea,fleen
louse,louses
inch,inch
omnibus,omnibi
philistine,philistim
real,réis
cherub,cherubin
seraph,seraphims
pair,pair
testa,testæ
nexus,nexus
sandwich,sandwichs
candela,candelae
lux,luces
score,score
fatwa,fatawa
axis,axiis
penumbra,penumbræ
panacea,panaceæ
stepbrother,stepbrethren
oryx,oryges
wildebeest,wildebeesten
lion,lion
monkey,monkies
valley,vallies
ox,oxes
hernia,herniæ
tsar,tsari
rex,reges
mohawk,"""mohawks"" in all other senses"
bacterium,bacteriums
scenario,scenari
nebula,nebulæ
datum,datums
formula,formulæ
fungus,fungusses
oasis,oasises
vita,vitæ
sagitta,sagittae
hydra,hydræ
lex,leges
zona,zonæ
metropolis,metropolisses
metropolis,metropolis's
mph,mph
fenestra,fenestræ
sow,swine
chick,chicken
lamb,lamber
lamb,lambren
pea,pease
portcullis,portculli
portcullis,portscullis
agenda,agendae
candelabrum,candelabrums
yard,yard
hobbit,hobbitses
cornucopia,cornucopiæ
furlong,furlong
sock,sox
gyros,gyroi
dachshund,dachshunde
toga,togæ
bolus,boli
pasta,paste
bonus,boni
nox,noctes
nox,noxes
nox,noces
ala,alæ
catapulta,catapultæ
braggadocio,braggadocioes
braggadocio,braggadocii
fax,faxxes
faux,fauces
virus,virusses
virus,vira
palpebra,palpebræ
boeuf,boeufs
vagina,vaginæ
axolotl,axolots
cicada,cicadæ
phobia,phobiæ
chorus,chorusses
chorus,chori
fresco,freschi
pus,pura
chimney,chimnies
ancora,ancorae
storey,stories
minutia,minutiæ
trachea,tracheæ
corgi,corgwn
amir,umara
boa,boæ
corona,coronæ
doff,doffs
fovea,foveæ
lacuna,lacunæ
tuber,tubera
umbra,umbræ
ballista,ballistæ
fascia,fasciæ
fauna,faunæ
galley,gallies
glans,glans
punk,punx
saliva,salivæ
amnesia,amnesiæ
inertia,inertiæ
supernova,supernovæ
sos,sos's
platypus,platypodes
asbestos,asbesti
rabbi,rabbies
sephardi,sepharadim
persona,personæ
viola,viole
walrus,walri
walrus,walrii
molecule,moleculæ
garda,gardaí
sarcophagus,sarcophagusses
pulley,pullies
parabola,parabolæ
arena,arenæ
shits,the shits
cassia,cassiæ
retina,retinæ
spatula,spatulæ
aura,auræ
ambrosia,ambrosiae
hysteria,hysteriæ
climax,climaces
macron,macra
orchestra,orchestrae
paranoia,paranoiæ
pita,pites
detritus,detrita
cannula,cannulæ
gaeltacht,gaeltachtaí
rebus,rebusses
rebus,rebi
flora,floræ
slr,slr's
stria,striæ
nausea,nauseæ
uvula,uvulæ
vulva,vulvæ
dogi,dogi
lek,lekë
lb,lbs.
anemia,anemiæ
tiara,tiarae
tiara,tiaræ
ulcer,ulcera
furcula,furculæ
cc,cc's
cornea,corneæ
genital,genitalia
da,da's
monomania,monomaniæ
cello,celli
giallo,gialli
hasta,hastae
rpm,rpm's
circus,circusses
circus,circi
fibula,fibulæ
maxilla,maxillæ
a,a's
a,aes
garda,gardaí
i,i's
j,j's
o,o's
slav,slavi
v,v's
z,z's
bison,bisontes
frappuccino,frappuccini
macchiato,macchiati
vox,voces
tabula,tabulæ
willies,the willies
pneumonia,pneumoniæ
injuria,injuriæ
areola,areolæ
emir,umara
rv,rv's
ko,ko's
acs,acs's
fistula,fistulæ
sphincter,sphincteres
caesar,caesares
kindergarten,kindergärten
sclera,scleræ
seta,setæ
amaryllis,amaryllides
specimen,specimina
spanakopita,spanakopites
bandit,banditti
chrysalis,chrysalisses
cantata,cantate
abies,abietes
oss,oss's
aficionado,aficionadi
klippe,klippen
marquis,marquisses
hots,the hots
aula,aulæ
okrug,okruga
ephemera,ephemerae
airbus,airbii
apertura,aperturae
kobold,kobolde
leitmotiv,leitmotive
tropics,the tropics
lamina,laminæ
cbd,cbd's
medusa,medusæ
scrofula,scrofulæ
brennschluss,brennschlüsse
spunky,spunkys
medulla,medullæ
mentula,mentulæ
stations,the stations
corolla,corollæ
sultan,salateen
mastiff,mastives
concha,conchæ
chorea,choreæ
ils,ilss
sequela,sequelæ
stewardess,stewardii
sniffles,the sniffles
fuku,fuku
fackeltanz,fackeltänze
skins,the skins
porus,pori
zugzwang,zugzwänge
litas,litų
hryvnia,hryven
aureus,aureii
karbovanets,karbovantsi
karbovanets,karbovantsiv
tubus,tubi
kleenex,kleenices
kleenex,kleenices
nineties,the nineties
kono,kono
fossa,fossæ
longways,longways
essentials,the essentials
mk,mk's
fach,fächer
crlf,crlfs
boccale,boccali
tortellini,tortellini
rhinocerot,rhinocerotes
creeps,the creeps
putto,puttoes
membrana,membranæ
balanda,balanda
mangan,mangan
shakes,the shakes
rts,rts's
conceptus,conceptūs
cowan,cowanis
phy,phy's
spins,the spins
splits,the splits
blahs,the blahs
wanderwort,wanderwörter
bursa,bursæ
