word,plural
signoff,signoffs
turkeyfish2,turkeyfishes
headful2,headsful
dolman,dolmans
tulpa2,tulpa
tulpa3,tulpae
magnetarium,magnetariums
senti,senti
mutakallim2,mutakallimun
khoums,khoums
rtty,rttys
walrus2,walrus
walrus3,walrusses
balwadi,balwadies
salamanderfish2,salamanderfishes
choriambus2,choriambi
wff,wffs
vicecomes,vicecomites
branzino2,branzini
wpi2,wpi
tofus,tofi
angiofibroma2,angiofibromata
archchief,archchiefs
physa2,physae
octaeteris,octaeterides
petasma2,petasmata
sfogliatella,sfogliatelle
cytoma2,cytomata
handoff,handoffs
shitbum,shitbums
oenach,oenachs
jinn2,jawan
jinn3,jinn
jinn4,jinnah
jinn5,jinnan
gonfaloniere2,gonfalonieri
warehouseful2,warehousesful
ncns,ncnss
karategi2,karategi
aphlebia,aphlebiae
justicies,justicies
lolium,loliums
druggerman2,druggermans
flerf,flerfs
buyoff,buyoffs
fian2,fianna
chloasma2,chloasmata
blini2,blini
phosphomotif,phosphomotifs
fibrilla,fibrillae
karolin2,karoliner
chiman,chimans
vita2,vitae
prsm,prsm
hemihedron2,hemihedra
cory2,corys
gadjo2,gadje
xystus,xysti
tzolkinex,tzolkinex
emu2,emu
cirrocumulus,cirrocumuli
iambus2,iambi
comanche2,comanche
trobairitz,trobairitz
appy2,appys
nothotaxon,nothotaxa
nanori,nanori
rackabones,rackabones
monsieur2,messieurs
neginah,neginoth
kontraktnik2,kontraktniki
zakuska2,zakuski
yurei,yurei
msh,mshs
contrantiscion,contrantiscia
agalma,agalmata
sublemma2,sublemmata
mammilla,mammillae
cvrf,cvrfs
denarius2,denarii
politico2,politicoes
laowai2,laowai
ulez2,ulezes
pseudopod2,pseudopodia
shinkansen2,shinkansen
snickers,snickers
genesis2,genesises
cognatus,cognati
gitxsan2,gitxsan
yewzh,yewzhes
superregnum2,superregnums
fuckoff,fuckoffs
myxamoeba2,myxamoebae
apotropaion,apotropaia
macquarium,macquariums
zambal2,zambal
hadd,hadood
hadd2,hadud
hadd3,hudood
hadd4,hudud
cyberforum2,cyberforums
roedeer2,roedeers
criterium,criteriums
dictum2,dictums
theca2,thecae
sika2,sika
xanith2,xanith
klallam2,klallam
tetrabrach,tetrabrachs
mwalimu2,walimu
microlife,microlives
urhobo2,urhobo
veepstakes,veepstakes
bostonese2,bostoneses
serif,serifs
emoji2,emoji
photino2,photini
craniopagus,craniopagi
drogoman2,drogomans
fren2,frenz
conchese2,concheses
kondakarion,kondakaria
asherah2,asherim
asherah3,asherot
kichwa2,kichwa
wayzegoose,wayzegooses
adenolymphoma2,adenolymphomata
rostellum2,rostellums
showperson2,showpeople
cepelinas,cepelinai
guff,guffs
prolactinoma2,prolactinomata
mestiso2,mestisoes
chek2,chek
sulcus,sulci
gold2,gold
contralto2,contralti
keiretsu2,keiretsu
fluteful2,flutesful
tourbus2,tourbusses
afrancesado2,afrancesadoes
pouchful2,pouchesful
teleforum2,teleforums
mailperson2,mailpeople
textiloma2,textilomata
harmonium,harmoniums
levalto,levaltoes
microhertz,microhertz
o2,oes
closetful2,closetsful
inka2,inka
ponticulus,ponticuli
dithyrambos,dithyramboi
posho2,poshoes
momzer2,momzerim
millijansky2,millijanskys
fudanshi,fudanshi
mil2,mil
keercheef,keercheefs
gastrinoma2,gastrinomata
amanat2,amanaty
odontoglossum,odontoglossums
fibroma2,fibromata
bungarum,bungarums
crachach,crachachs
elvis2,elvii
viz,vizes
passby,passbys
uraeus2,uraei
bagisu,bagisu
moege2,moege
synapticula2,synapticulae
doshirak2,doshirak
minium,miniums
crusado2,crusadoes
hospitium2,hospitiums
epicanthus,epicanthi
chippewyan2,chippewyan
ischaemia2,ischaemiae
cassis,cassises
aluminum,aluminums
kyabajo,kyabajo
porphyrogenitus,porphyrogeniti
microhelix,microhelices
yajman,yajmans
thrombophlebitis,thrombophlebitides
dathanaic,dathanaic
spesmilo2,spesmiloj
peracephalus,peracephali
barista2,baristi
microsiemens,microsiemens
russ2,russ
oysterfish,oysterfishes
iconostasis2,iconostaseis
dustoff,dustoffs
yahooskin2,yahooskin
assarion,assaria
bigenus,bigenera
tribrach,tribrachs
tesla2,tesla
manga2,manga
ganglion2,ganglia
tetrakishexahedron2,tetrakishexahedra
holeful2,holesful
venula,venulae
administratrix2,administratrixes
actinomyces,actinomyces
bushelful2,bushelsful
koss2,koss
kigo2,kigo
boublik2,boubliki
stapedius,stapedii
chono2,chono
shtetl2,shtetlach
shtetl3,shtetlech
shtetl4,shtetlekh
metatheca,metathecae
ninesies,ninesies
toothleaf,toothleafs
epilocus,epiloci
wyandot2,wyandot
champers,champers
fundoshi2,fundoshi
tsaddik2,tsaddikim
banjo2,banjoes
munafiq2,munafiqun
dantian2,dantian
dybbuk2,dybbukim
nanozooplankton2,nanozooplankton
virgalieu,virgalieus
phylloxera2,phylloxerae
oaf2,oafs
whitebass,whitebass
altepetl2,altepemeh
paradigma,paradigmata
didymus,didymi
subforum2,subforums
apotelesma,apotelesmata
tsuyuharai,tsuyuharai
lockoff,lockoffs
karuk2,karuk
clavis2,claves
dominatrix2,dominatrixes
siuslaw2,siuslaw
butcherknife,butcherknives
nippy2,nippys
velum2,velums
animanga2,animanga
thesaurus2,thesauri
emphysema2,emphysemata
gekko2,gekkoes
derecho2,derechoes
longus,longi
tales,talaisim
tales2,taleisim
tales3,tales
tales4,talesim
tales5,taleysim
sails,sails
madrich,madrichim
doberman,dobermans
irava2,irava
pyrocumulonimbus,pyrocumulonimbi
honbasho,honbasho
encyclopedia2,encyclopediae
notaulix,notaulices
omata,omata
heter,heterim
ahegao2,ahegao
broadleaf2,broadleafs
ferengi2,ferengi
kamatz,kamatzes
kamatz2,kamatzim
juvenarium2,juvenariums
phenospecies,phenospecies
serrula2,serrulae
croisado2,croisadoes
guano2,guanoes
shammas,shammasim
passamezzo2,passamezzi
rostrolatus,rostrolatera
def,defs
campagna2,campagne
kmph,kmph
cistus2,cisti
mixoplankton2,mixoplankton
clackamas,clackamas
rockaby,rockabys
symposium2,symposiums
rinforzando2,rinforzandi
xenophora2,xenophorae
nonperson2,nonpeople
yagnob2,yagnob
marwari2,marwari
platyfish2,platyfishes
moonchild,moonchildren
minyon,minyonim
multi2,multies
odium,odiums
notitia,notitiae
tonawanda2,tonawanda
pseudocellulitis,pseudocellulides
pseudocellulitis2,pseudocellulites
chauff,chauffs
ko2,ko
ushiromotare,ushiromotare
dmf,dmfs
patach2,patachim
bravo2,bravi
bravo3,bravoes
tifoso,tifosi
antumbra,antumbrae
paranthelion,paranthelia
adenofibroma2,adenofibromata
mossy2,mossys
parrotfish2,parrotfishes
ssrf,ssrfs
gymnasium2,gymnasiums
clarseach,clarseachs
negro2,negroes
fibratus,fibrati
oribi2,oribi
pastophorus,pastophori
goniosynechialysis,goniosynechialysises
telangiectasia2,telangiectasiae
silovik2,siloviki
kamuy,kamuy
hauch,hauchs
tsarouchi2,tsarouchi
backslum,backslums
judogi2,judogi
kurku,kurku
mna2,mnae
mna3,mnai
taepyeongso,taepyeongso
quadriceps2,quadriceps
pedalo2,pedaloes
prurigo2,prurigoes
mesovortex2,mesovortices
finocchio2,finocchi
dongxiang2,dongxiang
piyut2,piyutim
aeroplankton2,aeroplankton
bitcoin2,bitcoin
amphora2,amphorae
amphora3,amphorai
glomus,glomera
siemens,siemens
hanbok2,hanbok
djoundi,djounoud
oxyrhynchus,oxyrhynchi
prepollex,prepollices
kakawin2,kakawin
schvitz,schvitzes
imperf,imperfs
sente,lisente
topas,topas
topas2,topasses
burrfish2,burrfishes
rutul2,rutul
flowerminx,flowerminxes
chavurah2,chavurot
chavurah3,chavuroth
tablespoonful2,tablespoonsful
metaphyton2,metaphyta
tympanum2,tympanums
benners,benners
fatele2,fatele
cytofilius,cytofilia
epipleuron,epipleura
emplastron,emplastra
mvskoke2,mvskoke
mahori2,mahori
alkylammonium,alkylammoniums
kakahi,kakahi
corona2,coronae
corona3,corone
qtf,qtfs
branchioma2,branchiomata
pintado2,pintado
pintado3,pintadoes
endorhiza,endorhizae
papissa,papissae
mesopharynx2,mesopharynxes
papalagi2,papalagi
real2,reais
real3,reales
real4,reis
homoioptoton,homoioptota
ai2,ai
sns2,snss
tubful2,tubsful
graaf,graafs
coadjutrix2,coadjutrixes
quartodeciman,quartodecimans
orchis2,orchides
kilolux,kilolux
exeligmos,exeligmoi
nubcake2,nubcakez
lipsum,lipsums
anemonefish2,anemonefishes
nzima,nzima
wailaki2,wailaki
pinon2,pinones
atomus,atomi
sampietrino,sampietrini
dragonborn,dragonborn
maucauco2,maucaucoes
nohkan,nohkan
tramful2,tramsful
helepolis2,helepoleis
crosscountry2,crosscountrys
xiehouyu,xiehouyu
pseudostoma,pseudostomata
soum,soums
gambado2,gambadoes
tetrobolos,tetroboloi
kalbelia2,kalbelia
maegth2,maegthe
tubestock,tubestock
fauna2,faunae
computus,computi
corps2,corps
gentlemen,gentlemen
harimanage,harimanage
tsuba2,tsuba
shibazuke,shibazuke
genomospecies,genomospecies
adenocarcinoma2,adenocarcinomata
plethron,plethra
antihum,antihums
lamellibranch,lamellibranchs
tzaddik2,tzaddikim
vacouf,vacoufs
nudzh,nudzhes
chuckrum,chuckrums
roundheels,roundheels
metaparapteron,metaparaptera
breastful2,breastsful
banjar2,banjar
polonium,poloniums
colonus,coloni
masturbatorium2,masturbatoriums
culdesac2,culsdesac
baka2,baka
backreef,backreefs
lymphangion2,lymphangia
fatso2,fatsoes
rifacimento2,rifacimenti
secalotricum,secalotricums
campagus,campagi
citrus2,citri
osteon2,ostea
rdf,rdfs
mayogo2,mayogo
bayogoula2,bayogoula
nephilim2,nephilim
chainworks,chainworks
somatophylax,somatophylakes
medrese,medreses
pomolo2,pomoloes
bacchius,bacchii
maxima2,maximae
targum,targumim
targum2,targums
metaseries,metaseries
modello2,modelli
shammes2,shammosim
