infinitive,third_person_singular,past,present_participle,past_participle
fauch,fauches,fauched,fauching,fauched
saponify,saponifies,saponified,saponifying,saponified
lipread,lipreads,lipread,lipreading,lipread
footballify,footballifies,footballified,footballifying,footballified
bespeed,bespeeds,besped,bespeeding,besped
permit,permits,permitted,permitting,permitted
fisheye,fisheyes,fisheyed,fisheyeing,fisheyed
hijabify,hijabifies,hijabified,hijabifying,hijabified
encoach,encoaches,encoached,encoaching,encoached
studie,studies,studied,studying,studied
shog,shogs,shogged,shogging,shogged
counterfeed,counterfeeds,counterfed,counterfeeding,counterfed
imbring,imbrings,imbrought,imbringing,imbrought
mollifie,mollifies,mollified,mollifying,mollified
beworry,beworries,beworried,beworrying,beworried
gar,gars,gart,garring,gart
videochat,videochats,videochatted,videochatting,videochatted
restir,restirs,restirred,restirring,restirred
dub,dubs,dubbed,dubbing,dubbed
berend,berends,berent,berending,berent
ramrod,ramrods,ramrodded,ramrodding,ramrodded
denib,denibs,denibbed,denibbing,denibbed
bren,brens,brenned,brenning,brent
forespend,forespends,forespent,forespending,forespent
halalify,halalifies,halalified,halalifying,halalified
outtrump,outtrumps,outtrumped,outtrumping,outtrumped
underly,underlies,underlay,underlying,underlain
besleep,besleeps,beslept,besleeping,beslept
unbit,unbits,unbitted,unbitting,unbitted
stab,stabs,stabbed,stabbing,stabbed
renig,renigs,renigged,renigging,renigged
overfeel,overfeels,overfelt,overfeeling,overfelt
cocknify,cocknifies,cocknified,cocknifying,cocknified
flaccify,flaccifies,flaccified,flaccifying,flaccified
reproach,reproaches,reproached,reproaching,reproached
demonify,demonifies,demonified,demonifying,demonified
overren,overrens,overran,overrenning,overrun
reconfer,reconfers,reconferred,reconferring,reconferred
creampie,creampies,creampied,creampieing,creampied
hatch,hatches,hatched,hatching,hatched
dogsit,dogsits,dogsitted,dogsitting,dogsitted
molly,mollies,mollied,mollying,mollied
saccharify,saccharifies,saccharified,saccharifying,saccharified
pig,pigs,pigged,pigging,pigged
overbreed,overbreeds,overbred,overbreeding,overbred
underrun,underruns,underran,underrunning,underrun
outblow,outblows,outblew,outblowing,outblown
metric,metrics,metricked,metricking,metricked
writhe,writhes,wrothe,writhing,writhen
exotify,exotifies,exotified,exotifying,exotified
handcarry,handcarries,handcarried,handcarrying,handcarried
webchat,webchats,webchatted,webchatting,webchatted
trendify,trendifies,trendified,trendifying,trendified
bonify,bonifies,bonified,bonifying,bonified
ghostwrite,ghostwrites,ghostwrote,ghostwriting,ghostwritten
decal,decals,decalled,decalling,decalled
sleepwrite,sleepwrites,sleepwrote,sleepwriting,sleepwritten
unicast,unicasts,unicast,unicasting,unicast
chat,chats,chatted,chatting,chatted
grid,grids,gridded,gridding,gridded
lese,leses,lore,lesing,lorn
forlend,forlends,forlent,forlending,forlent
mommy,mommies,mommied,mommying,mommied
outspan,outspans,outspanned,outspanning,outspanned
acquit,acquits,acquitted,acquitting,acquitted
volcano,volcanoes,volcanoed,volcanoing,volcanoed
teep,teeps,teeped,teeping,teeped
upspread,upspreads,upspread,upspreading,upspread
blueberry,blueberries,blueberried,blueberrying,blueberried
unbuild,unbuilds,unbuilt,unbuilding,unbuilt
outbet,outbets,outbetted,outbetting,outbetted
globetrot,globetrots,globetrotted,globetrotting,globetrotted
deepdraw,deepdraws,deepdrew,deepdrawing,deepdrawn
linchpin,linchpins,linchpinned,linchpinning,linchpinned
